  646836843.59200 00567    -1910    -1740   -12671    -1423      755   -14917   625641   625964   625751   624752   624492   625053   724566   724566   631776   626337       31     -402     -187    -1068     -420     -222       26       26     5162     -276   646836846.51400       34        5        1    18253    25483        0
  646836858.23400 00567    -1905    -1756   -12646    -1420      772   -14939   625649   625978   625752   624756   624488   625054   724568   724568   631799   626348       31     -406     -188    -1078     -424     -221       29       29     5137     -275   646836860.51400       34        5        1    18216    25171        0
  646836872.87600 00567    -1914    -1734   -12673    -1385      750   -14915   625645   625966   625756   624750   624482   625041   724559   724559   631780   626348       37     -410     -185    -1074     -418     -223       23       23     5152     -279   646836874.51400       34        5        1    18204    25501        0
  646836887.51700 00567    -1917    -1739   -12665    -1411      752   -14938   625642   625976   625748   624744   624482   625048   724564   724564   631758   626339       30     -404     -182    -1071     -427     -216       30       30     5141     -283   646836888.51400       34        5        1    18216    25550        0
  646836902.15900 00567    -1921    -1744   -12676    -1396      772   -14909   625636   625981   625750   624752   624491   625047   724569   724569   631794   626341       33     -412     -182    -1062     -427     -221       29       29     5144     -272   646836902.51400       34        5        1    18287    25367        0
  646836916.80100 00567    -1878    -1744   -12667    -1407      785   -14922   625645   625975   625748   624749   624481   625047   724567   724567   631771   626342       25     -411     -180    -1078     -430     -212       36       36     5153     -275   646836916.51400       34        5        1    18286    25690        0
  646836931.44200 00567    -1878    -1739   -12649    -1391      775   -14930   625645   625976   625749   624748   624484   625044   724573   724573   631764   626348       36     -407     -174    -1077     -427     -217       27       27     5145     -282   646836930.51400       34        5        1    18252    25508        0
  646836946.08400 00567    -1906    -1755   -12662    -1399      792   -14924   625639   625972   625750   624754   624486   625036   724561   724561   631736   626338       27     -408     -176    -1079     -433     -216       29       29     5167     -276   646836944.51400       34        5        1    18277    25594        0
  646836960.72600 00567    -1902    -1774   -12664    -1412      755   -14946   625635   625970   625753   624744   624478   625034   724565   724565   631741   626341       37     -400     -181    -1078     -424     -226       28       28     5147     -283   646836958.51400       34        5        1    18280    25408        0
  646836975.36700 00567    -1903    -1753   -12672    -1400      774   -14920   625632   625967   625748   624739   624481   625048   724558   724558   631810   626332       32     -409     -181    -1077     -423     -223       31       31     5166     -282   646836972.51400       34        5        1    18331    25467        0
